o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
2,A2,34,Gate9,0.8370917508399437,20.11474421099216,"LINESTRING (-122.4318393 37.7744554,-122.4237057 37.7774733)"
2,A2,35,Gate10,1.221428326201319,19.041538689863295,"LINESTRING (-122.4318393 37.7744554,-122.4195457 37.7774733)"
2,A2,36,Gate11,1.5872211373318417,18.10867394638441,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7745533)"
2,A2,37,Gate12,1.6103829009025616,36.10385284412581,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7716333)"
2,A2,38,Gate13,1.6811193481863735,160.92149589505306,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7687133)"
2,A2,39,Gate14,1.7938111563862567,0.0,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7657933)"
2,A2,40,Gate15,1.9411650350511445,0.0,"LINESTRING (-122.4318393 37.7744554,-122.41539 37.7628733)"
2,A2,41,Gate16,1.8344128097680958,0.0,"LINESTRING (-122.4318393 37.7744554,-122.41955 37.75995)"
2,A2,42,Gate17,1.604443481685796,36.13290823729072,"LINESTRING (-122.4318393 37.7744554,-122.42371 37.75995)"
2,A2,43,Gate18,1.4510853752471078,18.447506366218363,"LINESTRING (-122.4318393 37.7744554,-122.42787 37.75995)"
2,A2,44,Gate19,1.3997499768283184,0.0,"LINESTRING (-122.4318393 37.7744554,-122.43203 37.75995)"
2,A2,45,Gate20,1.4612298176709078,0.0,"LINESTRING (-122.4318393 37.7744554,-122.43619 37.75995)"
3,A3,1,A1,0.8260778270513263,15.701718490367663,"LINESTRING (-122.4277211 37.774663,-122.4362773 37.774367)"
3,A3,2,A2,0.3978688388084783,16.947431974673624,"LINESTRING (-122.4277211 37.774663,-122.4318393 37.7744554)"
3,A3,3,A3,0.0,0.0,"LINESTRING (-122.4277211 37.774663,-122.4277211 37.774663)"
3,A3,4,A4,0.36663094245479944,18.42323565551413,"LINESTRING (-122.4277211 37.774663,-122.4239365 37.7743245)"
3,A3,5,A5,0.7245272585730195,18.73500437397385,"LINESTRING (-122.4277211 37.774663,-122.4202144 37.7744831)"
3,A3,6,B1,0.8614940194896278,16.817145226046822,"LINESTRING (-122.4277211 37.774663,-122.4361199 37.7716339)"
3,A3,7,B2,0.512594757818218,19.36574051797441,"LINESTRING (-122.4277211 37.774663,-122.4319651 37.7714677)"
3,A3,8,B3,0.3057259063165808,14.706913334907927,"LINESTRING (-122.4277211 37.774663,-122.4283861 37.7715651)"
3,A3,9,B4,0.48197278480653666,17.58637735758434,"LINESTRING (-122.4277211 37.774663,-122.4239069 37.7714378)"
3,A3,10,B5,0.7776116043150813,18.461202666427855,"LINESTRING (-122.4277211 37.774663,-122.4201831 37.7718125)"
3,A3,11,C1,1.038350865514759,14.106849428461675,"LINESTRING (-122.4277211 37.774663,-122.4367054 37.7687396)"
3,A3,12,C2,0.707730896401383,12.142738249443248,"LINESTRING (-122.4277211 37.774663,-122.4318836 37.7686237)"
3,A3,13,C3,0.6052635187387609,24.603744689463447,"LINESTRING (-122.4277211 37.774663,-122.4278975 37.7683927)"
3,A3,14,C4,0.6736805117733206,21.552586922308528,"LINESTRING (-122.4277211 37.774663,-122.4240656 37.7687146)"
3,A3,15,C5,0.9880764407058541,15.061507676892123,"LINESTRING (-122.4277211 37.774663,-122.4195889 37.7684398)"
3,A3,16,D1,1.1629085125453413,9.83492761372512,"LINESTRING (-122.4277211 37.774663,-122.4358691 37.7657825)"
3,A3,17,D2,0.9600539992176548,16.010376223432147,"LINESTRING (-122.4277211 37.774663,-122.4322351 37.7657961)"
3,A3,18,D3,0.8420081426445201,16.733015174805967,"LINESTRING (-122.4277211 37.774663,-122.4278576 37.7659377)"
3,A3,19,D4,0.9280009279718686,18.210079508577877,"LINESTRING (-122.4277211 37.774663,-122.423907 37.765834)"
3,A3,20,D5,1.1586122900020461,19.358867826775768,"LINESTRING (-122.4277211 37.774663,-122.4196549 37.7657682)"
3,A3,21,E1,1.3952518621348584,14.136568603494982,"LINESTRING (-122.4277211 37.774663,-122.4361629 37.7629229)"
3,A3,22,E2,1.2130394535484672,15.61016774258215,"LINESTRING (-122.4277211 37.774663,-122.4320539 37.7628616)"
3,A3,23,E3,1.1334084923050762,15.811825312956945,"LINESTRING (-122.4277211 37.774663,-122.4278735 37.7629176)"
3,A3,24,E4,1.1948048728480989,16.56282736699092,"LINESTRING (-122.4277211 37.774663,-122.4239863 37.762857)"
3,A3,25,E5,1.3646658831228387,20.65185732783381,"LINESTRING (-122.4277211 37.774663,-122.4199192 37.7628665)"
3,A3,26,Gate1,1.6669471087966434,0.0,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76287)"
3,A3,27,Gate2,1.4889204577331618,0.0,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76579)"
3,A3,28,Gate3,1.3467823216799282,0.0,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.76871)"
3,A3,29,Gate4,1.2528081022739574,0.0,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.77163)"
3,A3,30,Gate5,1.21819566854369,0.0,"LINESTRING (-122.4277211 37.774663,-122.4403457 37.77455)"
3,A3,31,Gate6,0.8605864908286329,0.0,"LINESTRING (-122.4277211 37.774663,-122.4361857 37.7774733)"
3,A3,32,Gate7,0.4960309686486642,0.0,"LINESTRING (-122.4277211 37.774663,-122.4320257 37.7774733)"
3,A3,33,Gate8,0.27152474393237275,25.510902354214725,"LINESTRING (-122.4277211 37.774663,-122.4278657 37.7774733)"
3,A3,34,Gate9,0.47291225647197127,24.612097938668764,"LINESTRING (-122.4277211 37.774663,-122.4237057 37.7774733)"
3,A3,35,Gate10,0.8341508671206284,23.276765419988777,"LINESTRING (-122.4277211 37.774663,-122.4195457 37.7774733)"
3,A3,36,Gate11,1.1898756983603729,22.122555958810104,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7745533)"
3,A3,37,Gate12,1.2252151661339,44.02742754984445,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7716333)"
3,A3,38,Gate13,1.3210856352641527,195.5060596682123,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7687133)"
3,A3,39,Gate14,1.465656622364216,0.0,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7657933)"
3,A3,40,Gate15,1.6461465427655388,0.0,"LINESTRING (-122.4277211 37.774663,-122.41539 37.7628733)"
3,A3,41,Gate16,1.6238992041253182,0.0,"LINESTRING (-122.4277211 37.774663,-122.41955 37.75995)"
3,A3,42,Gate17,1.4714686691770806,42.55769657749119,"LINESTRING (-122.4277211 37.774663,-122.42371 37.75995)"
3,A3,43,Gate18,1.4197298386058375,21.430032056476083,"LINESTRING (-122.4277211 37.774663,-122.42787 37.75995)"
3,A3,44,Gate19,1.479285954753429,0.0,"LINESTRING (-122.4277211 37.774663,-122.43203 37.75995)"
3,A3,45,Gate20,1.6380422486237736,0.0,"LINESTRING (-122.4277211 37.774663,-122.43619 37.75995)"
4,A4,1,A1,1.1907644064139704,12.440813403915596,"LINESTRING (-122.4239365 37.7743245,-122.4362773 37.774367)"
4,A4,2,A2,0.7626423416088538,13.351354380469628,"LINESTRING (-122.4239365 37.7743245,-122.4318393 37.7744554)"
4,A4,3,A3,0.36663094245479944,14.235339711078169,"LINESTRING (-122.4239365 37.7743245,-122.4277211 37.774663)"
4,A4,4,A4,0.0,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4239365 37.7743245)"
4,A4,5,A5,0.3594721683652534,16.58825783252417,"LINESTRING (-122.4239365 37.7743245,-122.4202144 37.7744831)"
4,A4,6,B1,1.2038979949388875,13.369449041022417,"LINESTRING (-122.4239365 37.7743245,-122.4361199 37.7716339)"
4,A4,7,B2,0.822259999642244,15.415096131224693,"LINESTRING (-122.4239365 37.7743245,-122.4319651 37.7714677)"
4,A4,8,B3,0.5051960525724873,11.859386801909285,"LINESTRING (-122.4239365 37.7743245,-122.4283861 37.7715651)"
4,A4,9,B4,0.27855540373285453,15.218203821518431,"LINESTRING (-122.4239365 37.7743245,-122.4239069 37.7714378)"
4,A4,10,B5,0.4357962164851346,16.25950578986829,"LINESTRING (-122.4239365 37.7743245,-122.4201831 37.7718125)"
4,A4,11,C1,1.3447632347230405,11.281701083573685,"LINESTRING (-122.4239365 37.7743245,-122.4367054 37.7687396)"
4,A4,12,C2,0.9436999035392238,9.789733492839412,"LINESTRING (-122.4239365 37.7743245,-122.4318836 37.7686237)"
4,A4,13,C3,0.6882376807753682,20.277368613366228,"LINESTRING (-122.4239365 37.7743245,-122.4278975 37.7683927)"
4,A4,14,C4,0.5414434212388327,18.366224514411385,"LINESTRING (-122.4239365 37.7743245,-122.4240656 37.7687146)"
4,A4,15,C5,0.7059761254901463,13.104376148422045,"LINESTRING (-122.4239365 37.7743245,-122.4195889 37.7684398)"
4,A4,16,D1,1.4159811880296735,7.926853509748138,"LINESTRING (-122.4239365 37.7743245,-122.4358691 37.7657825)"
4,A4,17,D2,1.148190956567514,13.012352570884346,"LINESTRING (-122.4239365 37.7743245,-122.4322351 37.7657961)"
4,A4,18,D3,0.8933188321122182,13.863665480024501,"LINESTRING (-122.4239365 37.7743245,-122.4278576 37.7659377)"
4,A4,19,D4,0.8192524091749565,15.444085724268668,"LINESTRING (-122.4239365 37.7743245,-122.423907 37.765834)"
4,A4,20,D5,0.9232011135819655,16.710391798901203,"LINESTRING (-122.4239365 37.7743245,-122.4196549 37.7657682)"
4,A4,21,E1,1.613087004350016,11.455291132142026,"LINESTRING (-122.4239365 37.7743245,-122.4361629 37.7629229)"
4,A4,22,E2,1.3552989605788208,12.776259138679867,"LINESTRING (-122.4239365 37.7743245,-122.4320539 37.7628616)"
4,A4,23,E3,1.1643639082325585,13.141743137026932,"LINESTRING (-122.4239365 37.7743245,-122.4278735 37.7629176)"
4,A4,24,E4,1.1065114415004165,13.998334603748292,"LINESTRING (-122.4239365 37.7743245,-122.4239863 37.762857)"
4,A4,25,E5,1.1715677926021826,17.70752429237611,"LINESTRING (-122.4239365 37.7743245,-122.4199192 37.7628665)"
4,A4,26,Gate1,1.9309248254595919,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76287)"
4,A4,27,Gate2,1.784669857409192,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76579)"
4,A4,28,Gate3,1.6734363880698007,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76871)"
4,A4,29,Gate4,1.6045246076292339,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.77163)"
4,A4,30,Gate5,1.5834696443762304,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.77455)"
4,A4,31,Gate6,1.2203482061561477,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4361857 37.7774733)"
4,A4,32,Gate7,0.8375723337845861,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4320257 37.7774733)"
4,A4,33,Gate8,0.48584610261214284,20.501326582543726,"LINESTRING (-122.4239365 37.7743245,-122.4278657 37.7774733)"
4,A4,34,Gate9,0.30464209749855475,21.16000352414221,"LINESTRING (-122.4239365 37.7743245,-122.4237057 37.7774733)"
4,A4,35,Gate10,0.5213525973446816,20.3832116383204,"LINESTRING (-122.4239365 37.7743245,-122.4195457 37.7774733)"
4,A4,36,Gate11,0.8249507676485348,19.456692254474465,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7745533)"
4,A4,37,Gate12,0.8645735610009665,38.68788140378357,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7716333)"
4,A4,38,Gate13,0.9865080548686648,171.05192425798316,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7687133)"
4,A4,39,Gate14,1.1651934898812295,0.0,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7657933)"
4,A4,40,Gate15,1.3787387794656925,0.0,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7628733)"
4,A4,41,Gate16,1.4501398548529878,0.0,"LINESTRING (-122.4239365 37.7743245,-122.41955 37.75995)"
4,A4,42,Gate17,1.38716868529135,35.93786718759304,"LINESTRING (-122.4239365 37.7743245,-122.42371 37.75995)"
4,A4,43,Gate18,1.4379880650818626,17.84411866695702,"LINESTRING (-122.4239365 37.7743245,-122.42787 37.75995)"
4,A4,44,Gate19,1.591736077441812,0.0,"LINESTRING (-122.4239365 37.7743245,-122.43203 37.75995)"
4,A4,45,Gate20,1.8225474359210705,0.0,"LINESTRING (-122.4239365 37.7743245,-122.43619 37.75995)"
5,A5,1,A1,1.5499439535075736,12.040903560647566,"LINESTRING (-122.4202144 37.7744831,-122.4362773 37.774367)"
5,A5,2,A2,1.1216870180899365,12.890851844640386,"LINESTRING (-122.4202144 37.7744831,-122.4318393 37.7744554)"
5,A5,3,A3,0.7245272585730195,13.665325347207974,"LINESTRING (-122.4202144 37.7744831,-122.4277211 37.774663)"
5,A5,4,A4,0.3594721683652534,15.659036118588148,"LINESTRING (-122.4202144 37.7744831,-122.4239365 37.7743245)"
5,A5,5,A5,0.0,0.0,"LINESTRING (-122.4202144 37.7744831,-122.4202144 37.7744831)"
5,A5,6,B1,1.5591481364602702,12.947250867634772,"LINESTRING (-122.4202144 37.7744831,-122.4361199 37.7716339)"
5,A5,7,B2,1.170561922810175,14.912817423979767,"LINESTRING (-122.4202144 37.7744831,-122.4319651 37.7714677)"
5,A5,8,B3,0.8372480380818571,11.461027672043334,"LINESTRING (-122.4202144 37.7744831,-122.4283861 37.7715651)"
5,A5,9,B4,0.4618261418444315,14.978519816915309,"LINESTRING (-122.4202144 37.7744831,-122.4239069 37.7714378)"
