name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,3411,,,,0.0,,poi,0.0,-122.43417420633992,37.77048845863215,,2763.0,,6,1.422289300704,1.422289300704,poi
,3412,,,,0.0,,poi,0.0,-122.43402689201515,37.769829860348146,,2764.0,,12,2.418758305984,2.418758305984,poi
,3413,,,,0.0,,poi,0.0,-122.43408832057558,37.77010738125548,,2765.0,,12,1.470565438848,1.470565438848,poi
,3414,,,,0.0,,poi,0.0,-122.43408057744273,37.7704719164563,,2766.0,,7,1.7206110774399999,1.7206110774399999,poi
,3415,,,,0.0,,poi,0.0,-122.4337551774625,37.77051345897293,,2767.0,,7,1.7825035622399998,1.7825035622399998,poi
,3416,,,,0.0,,poi,0.0,-122.43407052520529,37.770032535874115,,2768.0,,12,1.555977067872,1.555977067872,poi
,3417,,,,0.0,,poi,0.0,-122.43412075499478,37.77030634626585,,2769.0,,6,1.4000080061759999,1.4000080061759999,poi
,3418,,,,0.0,,poi,0.0,-122.4342529719012,37.77048483056196,,2770.0,,6,1.341829070464,1.341829070464,poi
,3419,,,,0.0,,poi,0.0,-122.43366671413679,37.77052918765382,,2771.0,,7,2.157572020128,2.157572020128,poi
,3420,,,,0.0,,poi,0.0,-122.43361702666937,37.7698331131659,,2772.0,,12,1.635199448416,1.635199448416,poi
,3421,,,,0.0,,poi,0.0,-122.43362169927393,37.76989824920491,,2773.0,,12,1.0657885882559999,1.0657885882559999,poi
,3422,,,,0.0,,poi,0.0,-122.4342247795358,37.77034380788268,,2774.0,,6,0.280991880992,0.280991880992,poi
,3423,,,,0.0,,poi,0.0,-122.43400435179926,37.770498860982755,,2775.0,,7,1.4829439358079999,1.4829439358079999,poi
,3424,,,,0.0,,poi,0.0,-122.4336612919852,37.770036761159844,,2776.0,,12,1.282412285056,1.282412285056,poi
,3425,,,,0.0,,poi,0.0,-122.4336734243848,37.77010315581885,,2777.0,,12,1.3071692789759999,1.3071692789759999,poi
,3426,,,,0.0,,poi,0.0,-122.4340777500278,37.76997048041583,,2778.0,,12,0.992755456192,0.992755456192,poi
