o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
4,A4,3,A3,0.36663094245479944,"LINESTRING (-122.4239365 37.7743245,-122.4277211 37.774663)"
4,A4,4,A4,0.0,"LINESTRING (-122.4239365 37.7743245,-122.4239365 37.7743245)"
4,A4,5,A5,0.3594721683652534,"LINESTRING (-122.4239365 37.7743245,-122.4202144 37.7744831)"
4,A4,6,B1,1.2038979949388875,"LINESTRING (-122.4239365 37.7743245,-122.4361199 37.7716339)"
4,A4,7,B2,0.822259999642244,"LINESTRING (-122.4239365 37.7743245,-122.4319651 37.7714677)"
4,A4,8,B3,0.5051960525724873,"LINESTRING (-122.4239365 37.7743245,-122.4283861 37.7715651)"
4,A4,9,B4,0.27855540373285453,"LINESTRING (-122.4239365 37.7743245,-122.4239069 37.7714378)"
4,A4,10,B5,0.4357962164851346,"LINESTRING (-122.4239365 37.7743245,-122.4201831 37.7718125)"
4,A4,11,C1,1.3447632347230405,"LINESTRING (-122.4239365 37.7743245,-122.4367054 37.7687396)"
4,A4,12,C2,0.9436999035392238,"LINESTRING (-122.4239365 37.7743245,-122.4318836 37.7686237)"
4,A4,13,C3,0.6882376807753682,"LINESTRING (-122.4239365 37.7743245,-122.4278975 37.7683927)"
4,A4,14,C4,0.5414434212388327,"LINESTRING (-122.4239365 37.7743245,-122.4240656 37.7687146)"
4,A4,15,C5,0.7059761254901463,"LINESTRING (-122.4239365 37.7743245,-122.4195889 37.7684398)"
4,A4,16,D1,1.4159811880296735,"LINESTRING (-122.4239365 37.7743245,-122.4358691 37.7657825)"
4,A4,17,D2,1.148190956567514,"LINESTRING (-122.4239365 37.7743245,-122.4322351 37.7657961)"
4,A4,18,D3,0.8933188321122182,"LINESTRING (-122.4239365 37.7743245,-122.4278576 37.7659377)"
4,A4,19,D4,0.8192524091749565,"LINESTRING (-122.4239365 37.7743245,-122.423907 37.765834)"
4,A4,20,D5,0.9232011135819655,"LINESTRING (-122.4239365 37.7743245,-122.4196549 37.7657682)"
4,A4,21,E1,1.613087004350016,"LINESTRING (-122.4239365 37.7743245,-122.4361629 37.7629229)"
4,A4,22,E2,1.3552989605788208,"LINESTRING (-122.4239365 37.7743245,-122.4320539 37.7628616)"
4,A4,23,E3,1.1643639082325585,"LINESTRING (-122.4239365 37.7743245,-122.4278735 37.7629176)"
4,A4,24,E4,1.1065114415004165,"LINESTRING (-122.4239365 37.7743245,-122.4239863 37.762857)"
4,A4,25,E5,1.1715677926021826,"LINESTRING (-122.4239365 37.7743245,-122.4199192 37.7628665)"
4,A4,26,Gate1,1.9309248254595919,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76287)"
4,A4,27,Gate2,1.784669857409192,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76579)"
4,A4,28,Gate3,1.6734363880698007,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.76871)"
4,A4,29,Gate4,1.6045246076292339,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.77163)"
4,A4,30,Gate5,1.5834696443762304,"LINESTRING (-122.4239365 37.7743245,-122.4403457 37.77455)"
4,A4,31,Gate6,1.2203482061561477,"LINESTRING (-122.4239365 37.7743245,-122.4361857 37.7774733)"
4,A4,32,Gate7,0.8375723337845861,"LINESTRING (-122.4239365 37.7743245,-122.4320257 37.7774733)"
4,A4,33,Gate8,0.48584610261214284,"LINESTRING (-122.4239365 37.7743245,-122.4278657 37.7774733)"
4,A4,34,Gate9,0.30464209749855475,"LINESTRING (-122.4239365 37.7743245,-122.4237057 37.7774733)"
4,A4,35,Gate10,0.5213525973446816,"LINESTRING (-122.4239365 37.7743245,-122.4195457 37.7774733)"
4,A4,36,Gate11,0.8249507676485348,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7745533)"
4,A4,37,Gate12,0.8645735610009665,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7716333)"
4,A4,38,Gate13,0.9865080548686648,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7687133)"
4,A4,39,Gate14,1.1651934898812295,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7657933)"
4,A4,40,Gate15,1.3787387794656925,"LINESTRING (-122.4239365 37.7743245,-122.41539 37.7628733)"
4,A4,41,Gate16,1.4501398548529878,"LINESTRING (-122.4239365 37.7743245,-122.41955 37.75995)"
4,A4,42,Gate17,1.38716868529135,"LINESTRING (-122.4239365 37.7743245,-122.42371 37.75995)"
4,A4,43,Gate18,1.4379880650818626,"LINESTRING (-122.4239365 37.7743245,-122.42787 37.75995)"
4,A4,44,Gate19,1.591736077441812,"LINESTRING (-122.4239365 37.7743245,-122.43203 37.75995)"
4,A4,45,Gate20,1.8225474359210705,"LINESTRING (-122.4239365 37.7743245,-122.43619 37.75995)"
5,A5,1,A1,1.5499439535075736,"LINESTRING (-122.4202144 37.7744831,-122.4362773 37.774367)"
5,A5,2,A2,1.1216870180899365,"LINESTRING (-122.4202144 37.7744831,-122.4318393 37.7744554)"
5,A5,3,A3,0.7245272585730195,"LINESTRING (-122.4202144 37.7744831,-122.4277211 37.774663)"
5,A5,4,A4,0.3594721683652534,"LINESTRING (-122.4202144 37.7744831,-122.4239365 37.7743245)"
5,A5,5,A5,0.0,"LINESTRING (-122.4202144 37.7744831,-122.4202144 37.7744831)"
5,A5,6,B1,1.5591481364602702,"LINESTRING (-122.4202144 37.7744831,-122.4361199 37.7716339)"
5,A5,7,B2,1.170561922810175,"LINESTRING (-122.4202144 37.7744831,-122.4319651 37.7714677)"
5,A5,8,B3,0.8372480380818571,"LINESTRING (-122.4202144 37.7744831,-122.4283861 37.7715651)"
5,A5,9,B4,0.4618261418444315,"LINESTRING (-122.4202144 37.7744831,-122.4239069 37.7714378)"
5,A5,10,B5,0.257709938077922,"LINESTRING (-122.4202144 37.7744831,-122.4201831 37.7718125)"
5,A5,11,C1,1.6849596981338781,"LINESTRING (-122.4202144 37.7744831,-122.4367054 37.7687396)"
5,A5,12,C2,1.2599293933558844,"LINESTRING (-122.4202144 37.7744831,-122.4318836 37.7686237)"
5,A5,13,C3,0.9460124845473923,"LINESTRING (-122.4202144 37.7744831,-122.4278975 37.7683927)"
5,A5,14,C4,0.6692494352853285,"LINESTRING (-122.4202144 37.7744831,-122.4240656 37.7687146)"
5,A5,15,C5,0.5862412311265132,"LINESTRING (-122.4202144 37.7744831,-122.4195889 37.7684398)"
5,A5,16,D1,1.7281436088823512,"LINESTRING (-122.4202144 37.7744831,-122.4358691 37.7657825)"
5,A5,17,D2,1.4310532109785594,"LINESTRING (-122.4202144 37.7744831,-122.4322351 37.7657961)"
5,A5,18,D3,1.1062424678431582,"LINESTRING (-122.4202144 37.7744831,-122.4278576 37.7659377)"
5,A5,19,D4,0.9074309502312453,"LINESTRING (-122.4202144 37.7744831,-122.423907 37.765834)"
5,A5,20,D5,0.8426393627536067,"LINESTRING (-122.4202144 37.7744831,-122.4196549 37.7657682)"
5,A5,21,E1,1.9006136023982096,"LINESTRING (-122.4202144 37.7744831,-122.4361629 37.7629229)"
5,A5,22,E2,1.6007851535374567,"LINESTRING (-122.4202144 37.7744831,-122.4320539 37.7628616)"
5,A5,23,E3,1.3384777374484138,"LINESTRING (-122.4202144 37.7744831,-122.4278735 37.7629176)"
5,A5,24,E4,1.1793683535137462,"LINESTRING (-122.4202144 37.7744831,-122.4239863 37.762857)"
5,A5,25,E5,1.1212514659173587,"LINESTRING (-122.4202144 37.7744831,-122.4199192 37.7628665)"
5,A5,26,Gate1,2.242501620055765,"LINESTRING (-122.4202144 37.7744831,-122.4403457 37.76287)"
5,A5,27,Gate2,2.11583643265375,"LINESTRING (-122.4202144 37.7744831,-122.4403457 37.76579)"
5,A5,28,Gate3,2.020762512058146,"LINESTRING (-122.4202144 37.7744831,-122.4403457 37.76871)"
5,A5,29,Gate4,1.9618780484868632,"LINESTRING (-122.4202144 37.7744831,-122.4403457 37.77163)"
5,A5,30,Gate5,1.9424769884689266,"LINESTRING (-122.4202144 37.7744831,-122.4403457 37.77455)"
5,A5,31,Gate6,1.5678436950574588,"LINESTRING (-122.4202144 37.7744831,-122.4361857 37.7774733)"
5,A5,32,Gate7,1.1756233098134705,"LINESTRING (-122.4202144 37.7744831,-122.4320257 37.7774733)"
5,A5,33,Gate8,0.7926460950975042,"LINESTRING (-122.4202144 37.7744831,-122.4278657 37.7774733)"
5,A5,34,Gate9,0.4435390046103657,"LINESTRING (-122.4202144 37.7744831,-122.4237057 37.7774733)"
5,A5,35,Gate10,0.2956471143017854,"LINESTRING (-122.4202144 37.7744831,-122.4195457 37.7774733)"
5,A5,36,Gate11,0.4655584259006927,"LINESTRING (-122.4202144 37.7744831,-122.41539 37.7745533)"
5,A5,37,Gate12,0.5406605643485467,"LINESTRING (-122.4202144 37.7744831,-122.41539 37.7716333)"
5,A5,38,Gate13,0.7257066007396553,"LINESTRING (-122.4202144 37.7744831,-122.41539 37.7687133)"
5,A5,39,Gate14,0.9590377059712099,"LINESTRING (-122.4202144 37.7744831,-122.41539 37.7657933)"
5,A5,40,Gate15,1.2131049415413415,"LINESTRING (-122.4202144 37.7744831,-122.41539 37.7628733)"
5,A5,41,Gate16,1.4037682159209703,"LINESTRING (-122.4202144 37.7744831,-122.41955 37.75995)"
5,A5,42,Gate17,1.442296059225466,"LINESTRING (-122.4202144 37.7744831,-122.42371 37.75995)"
5,A5,43,Gate18,1.5849643503649424,"LINESTRING (-122.4202144 37.7744831,-122.42787 37.75995)"
5,A5,44,Gate19,1.8072762413220644,"LINESTRING (-122.4202144 37.7744831,-122.43203 37.75995)"
5,A5,45,Gate20,2.083896394738793,"LINESTRING (-122.4202144 37.7744831,-122.43619 37.75995)"
6,B1,1,A1,0.2641554596475609,"LINESTRING (-122.4361199 37.7716339,-122.4362773 37.774367)"
6,B1,2,A2,0.4946884285768259,"LINESTRING (-122.4361199 37.7716339,-122.4318393 37.7744554)"
6,B1,3,A3,0.8614940194896278,"LINESTRING (-122.4361199 37.7716339,-122.4277211 37.774663)"
6,B1,4,A4,1.2038979949388875,"LINESTRING (-122.4361199 37.7716339,-122.4239365 37.7743245)"
6,B1,5,A5,1.5591481364602702,"LINESTRING (-122.4361199 37.7716339,-122.4202144 37.7744831)"
6,B1,6,B1,0.0,"LINESTRING (-122.4361199 37.7716339,-122.4361199 37.7716339)"
